問題番号,問題,解答
1,日本国憲法の題名の前の文章は何と呼ばれますか？,「上諭」と呼ばれます。
2,日本国憲法の題名の後、第1章が始まる前の文章は何と呼ばれますか？,「前文」と呼ばれます。
3,上諭は日本国憲法の一部ですか、それとも公布文としての性格を持ちますか？,日本国憲法の一部ではなく、公布文としての性格を有します。
4,前文は日本国憲法の一部ですか？,はい、前文は日本国憲法の一部です。
5,前文を改正するには、どのような手続きが必要ですか？,憲法改正手続きが必要です。
6,前文は法規範性を有しますか？,はい、法規範性を有します。
7,前文は裁判規範性を有しますか？,裁判規範性はないとされます（判例） (※ただし、結論なしとする記述も併記されている)。
8,明治憲法は天皇が定めた憲法である「欽定憲法」でしたか、それとも国民が定めた「民定憲法」でしたか？,天皇が定めた「欽定憲法」でした。
9,明治憲法下において、天皇は統治権の総覧者であり、どのような権限を有していましたか？,統治権の総覧者で統帥権（作戦用兵権）を有していました。
10,明治憲法下では、軍に対する内閣や議会のコントロールはどの程度でしたか？,著しく弱められていました。
11,日本国憲法制定が明治憲法の改正という形式でなされたことを、法的に一種の「革命」があったと考える説は何ですか？,8月革命説です。
12,8月革命説によると、日本国憲法は実質的に明治憲法の「改正」ではなく、どのようなものと解されますか？,国民主権原理に基づく新憲法の「制定」であると解されます。
13,形式的意味の憲法とは何ですか？,憲法と呼ばれる成文の法典「憲法典」を指し、内容を問いません。
14,実質的意味の憲法（固有の意味）とは何ですか？,国家の統治の基本を定めた法です。
15,実質的意味の憲法（立憲的意味）とは何ですか？,自由主義に基づいて定められた国家の基礎法であり、国家権力を制限し国民の権利自由を守るものです。
16,日本国憲法は、形式的意味、実質的意味（固有の意味）、実質的意味（立憲的意味）の全てにおいて「憲法」といえますか？,はい、すべてにおいて「憲法」といえます。
17,憲法の最高法規性の表れとして、憲法改正に法律の改正より厳格な手続きを要求する規定は何条ですか？,第96条です。
18,憲法の最高法規性の表れとして、基本的人権の永久不可侵性を定める規定は何条ですか？,第97条です。
19,憲法の最高法規性の表れとして、憲法に反する法律などは無効であることを定める規定は何条ですか？,第98条です。
20,「法の支配」とは、どのような原理ですか？,専断的な国家権力の支配（人の支配）を排斥し、権力を法で拘束することによって、国民の権利・自由を擁護することを目的とする原理です。
21,法の支配において、権力の恣意的行使をコントロールする役割を担うのは何ですか？,裁判所です。
22,法の支配と法治主義は、権力を法で制限しようとする点は共通していますが、どのような点で異なりますか？,法の支配は民主主義と結合し、内容の合理性という実質的要件を含むのに対し、法治主義はいかなる政治体制とも結合し、内容の合理性は要求されません。
23,日本国憲法の前文で宣言されている三つの基本原理は何ですか？,間接民主制、平和主義、国民主権です。
24,日本国憲法の前文において「われらは、全世界の国民が、ひとしく恐怖と欠乏から免かれ、平和のうちに生存する権利を有することを確認する」と述べられている権利は何ですか？,平和的生存権です。
25,平和的生存権について、最高裁は裁判規範性を認めていますか？,最高裁は平和的生存権の法的性格には触れず（訴えの利益の消滅を理由に上告棄却）、裁判規範性を認めていません。
26,主権には、国家権力の属性としての最高独立性を意味する「国家主権」と、国の政治の在り方を最終的に決定する力または権威を意味する「国民主権」がありますが、前文において「主権が国民に存することを宣言」しているのはどちらの意味の主権ですか？,国民主権です。
27,国民主権の「正当性の契機」とは何ですか？,国家支配の正当性の根拠が国民にあること（「権威は国民に由来」）を指します。
28,国民主権の「権力性の契機」とは何ですか？,国の政治のあり方を国民自身が実際に決定することを指します。
29,憲法第15条第1項に定める「公務員を選定し、罷免する権利」、憲法第79条第2項の「裁判官の国民審査」、憲法第96条第1項の「憲法改正手続きにおける国民投票」は、国民主権のどの契機の表れといえますか？,国民主権の権力的契機の表れといえます。
30,憲法第43条第1項にいう「全国民を代表する」とは、議員が特定の選挙区や後援団体の代表ではなく、全国民の代表であることを意味する通説的見解は何ですか？,政治的代表を意味します。
31,議員が選挙母体の訓令に拘束されず、自己の信念に基づいて発言・表決する原則は何と呼ばれますか？,自由委任の原則（表決の自由）です。
32,政党が民意の反映に不可欠であることから、政党の決定に従う「党議拘束」は、自由委任の原則の枠外として許されると解されていますが、党からの除名をもって議員資格を喪失させたりすることは許されますか？,自由委任の原理に矛盾するため、許されません。
33,憲法第1条で定められている天皇の地位の性質は何ですか？,象徴天皇性です。
34,天皇は刑事訴追されず、民事裁判権も有しないと解釈されていますが、その根拠となる憲法の条文は何ですか？,「象徴」という憲法第1条の規定が根拠とされています（判例）。
35,皇位は世襲のものであり、国会の議決した皇室典範の定めるところにより継承されますが、皇室典範第1条はどのような男子が皇位を継承すると定めていますか？,皇統に属する男系の男子が、これを継承すると定めています。
36,天皇の国事に関するすべての行為には、内閣の助言と承認が必要とされていますが、天皇は内閣の助言と承認に拘束され、拒否権を有しますか？,内閣の助言と承認に完全に拘束され、拒否権はありません。
37,内閣は、天皇の国事行為について、天皇に代わって責任を負うのですか、それとも内閣自身の自己責任を負うのですか？,内閣の自己責任を負います。
38,天皇は、憲法の定める国事に関する行為のみを行い、国政に関する権能を有しませんが、国事に関する行為を委任することもできますか？,はい、法律の定めるところにより、その国事に関する行為を委任することができます。
39,摂政は、天皇が未成年または重患・重大な事故により国事行為を行うことができないと皇室会議で判断された場合に設置されますが、これは委任が必要ですか？,委任は不要です。
40,天皇は、国会の指名に基づいて誰を任命しますか？,内閣総理大臣を任命します。
41,天皇は、内閣の助言と承認により、国民のために様々な国事行為を行います。憲法改正、法律、政令及び条約の公布はこれに含まれますか？,はい、含まれます。
42,皇室に財産を譲り渡し、または皇室が財産を譲り受け、若しくは賜与することは、どのような機関の議決に基づかなければなりませんか？,国会の議決に基づかなければなりません。
43,天皇および皇族は日本国籍を有する国民であり、人間であることに基づいて認められる権利は保障されますか？,はい、保障されます。
44,天皇および皇族に対して、保障されない人権の例として挙げられているものは何ですか？,選挙権、政党に加入する自由、職業に就く自由、外国移住の自由、国籍離脱の自由、婚姻の自由です。
